                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                0.98271,                 1.2954,                 1.6277,                0.00493,                0.71978,                0.24399,                0.05854,                 2.0355,                 3.8396,                 2.8675,              0.0013392,              0.0013392,              0.0013392
                     90,                 1.1502,                 1.3292,                 1.7873,                0.69572,                0.19231,                0.30101,                0.09163,                 1.9617,                 3.6233,                  2.513,              0.0013529,              0.0013529,              0.0013529
                     91,                 1.0022,                  1.395,                 1.6864,                0.74238,                0.18116,                0.34066,                0.12316,                 1.7246,                 3.5424,                 2.2071,              0.0013666,              0.0013666,              0.0013666
                     92,                0.92212,                 1.1923,                 1.5647,                0.74795,                0.22715,                0.37803,                0.13774,                  1.653,                 3.4212,                  2.167,              0.0013803,              0.0013803,              0.0013803
                     93,                0.88163,                 1.1014,                 1.6316,                0.42203,                0.36196,                0.50427,                 0.2014,                 1.7085,                 3.0978,                 2.1642,               0.001394,               0.001394,               0.001394
                     94,                0.89466,                   1.15,                 1.5593,                0.56916,                0.62912,                0.63506,                0.25778,                 1.7677,                 2.6806,                 2.1855,              0.0014076,              0.0014076,              0.0014076
                     95,                0.90843,                 1.1779,                 1.5883,                0.67889,                0.46429,                 0.6055,                0.26341,                 1.6418,                 2.5261,                 2.0755,              0.0014212,              0.0014212,              0.0014212
                     96,                 1.0163,                 1.3454,                 1.6781,                0.60484,                0.46623,                0.52015,                0.20348,                 1.7284,                 3.0232,                 2.1878,              0.0014347,              0.0014347,              0.0014347
                     97,                0.93486,                 1.2325,                 1.6359,                0.57467,                0.46222,                0.47904,                0.18682,                   1.86,                 3.0938,                 2.3741,              0.0014482,              0.0014482,              0.0014482
                     98,                 1.1203,                 1.3574,                 1.5948,                0.86175,                0.52747,                 0.6365,                0.28371,                 1.8383,                 2.4085,                 2.2467,              0.0014617,              0.0014617,              0.0014617
                     99,                  1.047,                 1.1884,                 1.5937,                0.90634,                0.71841,                0.80413,                0.43131,                 1.6576,                 1.8909,                 2.0507,              0.0014752,              0.0014752,              0.0014752
                    100,                0.89319,                 1.2141,                 1.5713,                0.95178,                0.75549,                0.83061,                0.48789,                 1.5081,                 1.6719,                 1.9127,              0.0014886,              0.0014886,              0.0014886
                    101,                  1.005,                 1.3639,                 1.7033,                0.82921,                0.80928,                0.85628,                 0.5263,                 1.3916,                 1.4345,                 1.8381,               0.001502,               0.001502,               0.001502
                    102,                0.94127,                 1.1688,                 1.5822,                0.81496,                0.77747,                 0.8608,                0.49064,                 1.4512,                 1.4205,                 1.9054,               0.001502,               0.001502,               0.001502
                    103,                  1.014,                 1.2545,                 1.6451,                 0.8436,                0.83608,                0.94261,                0.65022,                  1.134,                 1.1835,                 1.6182,              0.0015003,              0.0015003,              0.0015003
                    104,                0.98444,                 1.2379,                 1.6782,                0.77941,                0.80769,                0.94083,                0.73303,                0.88674,                 1.3729,                 1.4592,              0.0014987,              0.0014987,              0.0014987
                    105,                0.91394,                  1.129,                 1.5795,                0.80817,                0.87472,                0.92738,                0.70465,                0.91397,                 1.3844,                 1.4595,               0.001497,               0.001497,               0.001497
                    106,                0.87767,                 1.1339,                   1.55,                 0.8619,                0.86722,                0.93221,                0.70606,                0.84036,                 1.3068,                 1.4261,              0.0014954,              0.0014954,              0.0014954
                    107,                0.89771,                 1.1278,                 1.6485,                0.91881,                0.84975,                0.97349,                0.72191,                 0.8823,                   1.17,                 1.4478,              0.0014937,              0.0014937,              0.0014937
                    108,                0.75596,                 1.0038,                 1.4465,                0.96513,                0.91445,                0.98944,                0.76239,                0.87046,                0.98319,                  1.443,              0.0014921,              0.0014921,              0.0014921
                    109,                0.81041,                 1.0403,                 1.4566,                0.97731,                0.97704,                0.98889,                0.75726,                0.89711,                  1.033,                 1.4972,              0.0014904,              0.0014904,              0.0014904
                    110,                0.93843,                 1.0067,                 1.6318,                0.92456,                0.85577,                0.97528,                0.71413,                 1.0099,                 1.3431,                 1.6012,              0.0014888,              0.0014888,              0.0014888
                    111,                0.90986,                  1.087,                 1.4772,                      1,                0.95463,                0.98977,                0.76359,                0.88682,                 1.0276,                 1.4969,              0.0014871,              0.0014871,              0.0014871
                    112,                0.81149,                 1.0179,                 1.5072,                0.86543,                0.96645,                 0.9773,                0.79311,                0.79186,                0.92419,                 1.4488,              0.0014855,              0.0014855,              0.0014855
                    113,                0.89319,                0.94426,                 1.4767,                0.88964,                0.94368,                0.97754,                0.75152,                0.83577,                0.96299,                 1.4804,              0.0014838,              0.0014838,              0.0014838
                    114,                0.87752,                 1.1516,                 1.5859,                0.85465,                0.89944,                0.92145,                0.68873,                0.91475,                 1.0217,                  1.556,              0.0014822,              0.0014822,              0.0014822
                    115,                0.87245,                 1.1101,                 1.5647,                 0.8234,                0.91293,                0.85066,                0.67966,                0.83073,                 1.1694,                 1.5177,              0.0014805,              0.0014805,              0.0014805
                    116,                0.92085,                 1.0299,                 1.5371,                0.87259,                0.95839,                0.90697,                0.77612,                0.72543,                  1.036,                 1.4135,              0.0014789,              0.0014789,              0.0014789
                    117,                 0.7822,                0.92558,                 1.4151,                0.88675,                0.92899,                0.95055,                0.79717,                0.75685,                0.92688,                 1.3809,              0.0014772,              0.0014772,              0.0014772
                    118,                0.78525,                0.89716,                 1.3927,                0.89492,                0.96276,                0.96317,                0.79141,                 0.7709,                0.94608,                 1.4009,              0.0014756,              0.0014756,              0.0014756
                    119,                0.75516,                0.87937,                 1.3541,                0.95006,                0.95946,                 0.9847,                0.77354,                0.88313,                0.98827,                 1.5189,              0.0014739,              0.0014739,              0.0014739
                    120,                0.80664,                0.90562,                 1.4696,                0.93354,                0.96429,                0.98637,                0.78928,                0.85511,                 1.1007,                 1.5019,              0.0014723,              0.0014723,              0.0014723
                    121,                0.77718,                0.92797,                 1.4229,                 0.9972,                0.99732,                  0.995,                0.77016,                0.93569,                0.88984,                 1.5596,              0.0014706,              0.0014706,              0.0014706
                    122,                0.95489,                0.96285,                 1.5702,                0.99623,                0.99002,                  0.995,                0.78425,                0.86596,                0.93511,                 1.5244,               0.001469,               0.001469,               0.001469
                    123,                 0.8773,                 0.9153,                 1.4941,                0.94226,                0.99812,                  0.994,                0.83334,                0.77905,                0.81763,                 1.4638,              0.0014673,              0.0014673,              0.0014673
                    124,                0.78124,                0.94633,                 1.4809,                0.97977,                0.97937,                  0.995,                0.78855,                0.86801,                0.87873,                 1.5754,              0.0014657,              0.0014657,              0.0014657
                    125,                0.80686,                0.84005,                 1.3984,                0.98511,                0.98846,                  0.995,                0.76439,                0.81543,                0.91339,                 1.5687,               0.001464,               0.001464,               0.001464
                    126,                0.86959,                 0.8899,                 1.4975,                0.96183,                0.97065,                0.99379,                0.75969,                0.82577,                0.97183,                 1.5739,              0.0014624,              0.0014624,              0.0014624
                    127,                0.87412,                0.87903,                 1.4932,                0.96423,                      1,                0.99448,                0.77412,                0.80234,                0.93948,                  1.506,              0.0014607,              0.0014607,              0.0014607
                    128,                0.79487,                0.78308,                 1.3299,                0.97067,                0.90884,                0.97735,                0.82849,                 0.6754,                0.82472,                 1.3669,              0.0014591,              0.0014591,              0.0014591
                    129,                 0.7011,                0.82462,                 1.3881,                0.91912,                0.96154,                0.98332,                0.86895,                0.55554,                0.77361,                 1.2496,              0.0014574,              0.0014574,              0.0014574
                    130,                0.76301,                0.85612,                 1.3238,                0.89015,                0.97896,                0.97385,                0.85843,                0.57427,                0.82454,                 1.3083,              0.0014558,              0.0014558,              0.0014558
                    131,                0.81486,                 0.9232,                 1.5129,                0.93739,                0.96914,                 0.9873,                0.89185,                0.57152,                0.81093,                  1.276,              0.0014541,              0.0014541,              0.0014541
                    132,                0.77083,                0.97532,                 1.3482,                0.99735,                0.99753,                  0.995,                0.87822,                0.58773,                0.73855,                 1.2288,              0.0014525,              0.0014525,              0.0014525
                    133,                0.80656,                0.89849,                 1.4296,                0.99753,                      1,                  0.995,                0.90413,                0.54624,                0.63977,                 1.1998,              0.0014508,              0.0014508,              0.0014508
                    134,                0.71254,                0.77999,                 1.3056,                0.99656,                      1,                  0.995,                0.89804,                0.54306,                0.90773,                 1.2623,              0.0014492,              0.0014492,              0.0014492
                    135,                0.73315,                0.84176,                 1.3204,                0.99715,                0.99468,                  0.995,                0.87703,                0.58869,                 1.4767,                 1.3464,              0.0014475,              0.0014475,              0.0014475
                    136,                0.73752,                0.79917,                 1.3599,                0.96115,                0.98214,                0.99313,                0.88004,                0.61283,                 1.4451,                 1.3918,              0.0014459,              0.0014459,              0.0014459
                    137,                0.69198,                0.77424,                 1.3095,                0.81444,                0.98214,                0.92006,                 0.8079,                0.66222,                 1.2252,                 1.4335,              0.0014442,              0.0014442,              0.0014442
                    138,                0.76155,                0.84501,                 1.4406,                0.80769,                0.93827,                0.85339,                0.76836,                0.62272,                 1.1377,                 1.3267,              0.0014426,              0.0014426,              0.0014426
                    139,                0.77563,                0.82742,                 1.3762,                0.79157,                0.94641,                0.90671,                0.80418,                0.60858,                 1.1115,                  1.281,              0.0014409,              0.0014409,              0.0014409
